Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
CPTR11,Títulos e Val. Mob.,"8,41","15,66%",14.87,"0,86",348.006.000,745240.0,0,"0,00","0,00","0,00%","0,00%",
CPTS11,Títulos e Val. Mob.,"8,21","7,02%",10.89,"0,92",2.609.370.000,7816200.0,0,"0,00","0,00","0,00%","0,00%",
CRAA11,Títulos e Val. Mob.,"104,79","2,94%",13.96,"1,04",248.335.000,1012790.0,0,"0,00","0,00","0,00%","0,00%",
CVBI11,Títulos e Val. Mob.,"93,94","11,19%",11.7,"1,00",1.034.300.000,2938960.0,0,"0,00","0,00","0,00%","0,00%",
DEVA11,Títulos e Val. Mob.,"39,85","15,36%",15.67,"0,40",559.690.000,957524.0,0,"0,00","0,00","0,00%","0,00%",
EGAF11,Títulos e Val. Mob.,"94,85","13,17%",15.43,"0,96",297.062.000,584068.0,0,"0,00","0,00","0,00%","0,00%",
EVBI11,Híbrido,"9,98","5,91%",8.64,"1,00",320.959.000,1520250.0,5,"8.030,88","754,18","9,39%","1,51%","Rua Tito, 671, Sem Complemento, Vila Romana, Sao Paulo/SP, Brasil, 05051-000,Avenida Das Americas, 6205, Sem Complemento, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22793-080,Avenida Fabio Barreto, 263, Sem Complemento, Vila Tiberio, Ribeirao Preto/SP, Brasil, 14050-000,Avenida Sao Camilo, 700, Sem Complemento, Granja Viana, Cotia/SP, Brasil, 06709-150,Rua Augusto Tolle, 470, Sem Complemento, Santana, Sao Paulo/SP, Brasil, 02405-000"
FATN11,Híbrido,"91,96","7,05%",11.28,"0,89",315.631.000,997593.0,51,"23.161,30","1.692,33","7,31%","3,36%","Rua Dr. Cardoso de Melo, 1855 ,Rua Teixeira da Silva, 650/660,Av. Brigadeiro Faria Lima, nº 1478,Av. das Nações Unidas, 10.989,Rua Beira Rio, 57,Av. Dr. Cardoso de Melo, 1608,Avenida Engenheiro Luís Carlos Berrini, 105,Rua Fidêncio Ramos, 213 ,Rua Doutor Renato Paes de Barros, 717,Alameda Itu, 852,Rua Helena, 260,Rua Gomes de Carvalho, 1108,Praça João Duran Alonso, 34,Rua Arizona, 1366,Rua Florida, 1738,Avenida Doutor Cardoso de Melo, 1340,Rua Ribeiro do Vale, 152,AL. Campinas, 457,Rua Gomes de Carvalho, 1356,Av. Paulista, 2022,Rua Luigi Galvani, 146,Av. Brigadeiro Faria Lima, 3015,Rua Helena, 218,Av. Paulista, 2022,Rua Tabapuã, 500,Rua Casa do Ator, 1117,Rua Cristiano Viana, 401,Rua Arizona, 1426,Avenida Paulista, 668,Rua do Rócio, 220,Av. Luiz Carlos Berrini, 1461,Rua Gomes de Carvalho, 1329,Rua Funchal, 573,Avenida Brigadeiro Faria Lima, 1234,Av. das Nações Unidas, 11857,Rua James Joule, 92,Rua Dr. Cardoso De Melo, 1336,Rua Funchal, 129,Rua Sansão Alves dos Santos, 76,Avenida Paulista, 925,Rua Tabapuã, 627,Rua Casa do Ator, 1.117,Rua Pequetita, 215,Rua Iaiá, 150,Rua Fidêncio Ramos, 100,Rua Helena. 235,Rua Dr. Cardoso de Melo, 1855 ,Rua James Joule, 92,Rua Funchal, 513,Rua do Rócio, 351,Rua Professor Artur Ramos, 96"
FCFL11,Outros,"115,43","8,78%",9.01,"0,94",401.005.000,316824.0,1,"12.824,50","1.184,04","9,23%","0,00%","Rua Quata, 300, Vila Olímpia, São Paulo/SP, Brasil, 04546-042"
FGAA11,Híbrido,"8,80","13,80%",15.02,"0,92",396.717.000,1200730.0,0,"0,00","0,00","0,00%","0,00%",
